,Name,TenforeId,ReturnM0,ReturnM12,ReturnM36,ReturnM60,StandardDeviationM36,SharpeM36,TrackRecordExtension,ReturnM120,AlphaM36,BetaM36
12976,Allspring (Lux) WW ClmTrGlblIGC IUSDDis,52.8.LU1826612795,1.52,-2.25,-1.06,,7.09,-0.12,False,,0.06,1.03
12977,Allspring (Lux) WW ClmTrGlblIGC ZUSDDis,52.8.LU2045855470,1.5,-2.26,-1.09,,7.09,-0.13,False,,0.02,1.03
12978,Amundi Fds Global Corp Bd A EUR C,52.8.LU0557863056,-0.55,-3.44,-1.28,2.03,6.83,-0.17,False,4.38,-0.46,0.99
12979,Amundi Fds Global Corp Bd A USD C,52.8.LU0319688791,-0.56,-3.44,-1.28,2.03,6.82,-0.17,False,4.37,-0.46,0.99
12980,Amundi Fds Global Corp Bd F2 USD C,52.8.LU0557863213,-0.99,-3.97,-1.78,1.51,6.82,-0.24,False,3.81,-0.96,0.99
12981,Amundi Fds Global Corp Bd G USD C,52.8.LU0319688957,-0.63,-3.53,-1.36,1.93,6.83,-0.18,False,4.23,-0.54,0.99
12982,Amundi Fds Global Corp Bd R USD AD D,,7.43,8.07,,,,,False,,,
12983,Amundi Fds Global Corp Bd R USD C,52.8.LU1737510369,-0.18,14.4,,,,,False,,,
12984,Amundi Fds Net Zr Ambt Glb Corp Bd A $C,52.8.LU2531475981,-0.58,,,,,,False,,,
12985,Amundi Fds Net Zr Ambt Glb Corp Bd A2 $C,52.8.LU2531475809,-0.64,,,,,,False,,,
12986,Amundi Fds Net Zr Ambt Glb Corp Bd R $C,52.8.LU2531475551,-0.22,,,,,,False,,,
12987,Amundi Fds Net Zr Ambt Glb Corp Bd R2 $C,52.8.LU2531475478,-0.27,,,,,,False,,,
12988,AXAWF Global Buy & Mntn Crdt A Cap USD,,,,,,,,False,,,
12989,AXAWF Global Sust Credit Bds A Cap USD,52.8.LU0447312744,-0.51,-3.96,-1.69,1.88,6.89,-0.2,False,4.28,-0.58,1.01
12990,AXAWF Global Sust Credit Bds I Cap USD,52.8.LU0447313635,-0.05,-3.4,-1.15,2.44,6.9,-0.12,False,4.83,-0.02,1.01
12991,BGF Global Corporate Bond A2 USD,52.8.LU0297942194,1.14,-0.95,-1.34,1.87,6.9,-0.2,False,4.14,-0.57,1.01
12992,BGF Global Corporate Bond A5 USD,52.8.LU0825403933,1.09,-0.93,-1.34,1.87,6.92,-0.2,False,4.13,-0.61,1.01
12993,BGF Global Corporate Bond A6 HKD Hedged,52.8.LU0788109550,-0.26,-1.88,-2.34,1.33,6.8,-0.35,False,3.48,-1.45,1.03
12994,BGF Global Corporate Bond A6 USD,52.8.LU0788109634,1.13,-1.0,-1.35,1.86,6.91,-0.2,False,4.13,-0.54,1.01
12995,BGF Global Corporate Bond D2 USD,52.8.LU0326960662,1.47,-0.54,-0.92,2.33,6.89,-0.14,False,4.6,-0.13,1.01
12996,BGF Global Corporate Bond E2 USD,52.8.LU0326961470,0.69,-1.44,-1.84,1.36,6.91,-0.28,False,3.62,-1.06,1.02
12997,BGF Global Corporate Bond I2 USD,52.8.LU1181254019,1.6,-0.4,-0.74,2.49,6.91,-0.11,False,,0.05,1.01
12998,BGF Global Corporate Bond X2 USD,52.8.LU0434566104,1.99,0.06,-0.29,2.96,6.91,-0.05,False,5.24,0.49,1.01
12999,Blackstone LwCarbGlInGdCorpBdAUSDFdrAcc,52.8.IE00BMXTP464,1.37,-1.33,-0.38,,6.84,-0.04,False,,0.57,1.01
13000,Blackstone LwCarbGlInGdCorpBdAUSDFdrHDis,52.8.IE000KULR2U0,-1.75,-4.35,,,,,False,,,
13001,Blackstone LwCarbGlInGdCorpBdAUSDInsAcc,52.8.IE00B4T2QW85,1.32,-1.33,-0.36,2.97,6.82,-0.03,False,4.96,0.61,1.02
13002,Blackstone LwCarbGlInGdCorpBdAUSDInsDis,52.8.IE00B73S8M79,-0.48,-2.79,-0.85,2.66,6.84,-0.02,False,4.8,0.78,1.03
13003,Blackstone LwCarbGlInGdCorpBdAUSDOrdDis,,,,,,10.46,0.93,False,,,
13004,Blackstone LwCarbGlInGdCorpBdCCHFFdrHDis,52.8.IE000FFE3W34,-0.48,4.26,,,,,False,,,
13005,BlueBay Glbl Inv Grd Corp Bd B USD,52.8.LU0847090692,0.55,-2.72,-0.81,2.99,6.99,-0.06,False,5.18,0.6,1.04
13006,BlueBay Glbl Inv Grd Corp Bd C USD,52.8.LU1196383134,0.63,-2.62,-0.71,3.1,6.99,-0.04,False,,0.7,1.04
13007,BlueBay Glbl Inv Grd Corp Bd C USD (AID),52.8.LU1196383480,0.64,-2.61,-0.7,3.1,7.0,-0.04,False,,0.71,1.04
13008,BlueBay Glbl Inv Grd Corp Bd I USD,52.8.LU0847090932,0.63,-2.63,-0.72,3.09,6.99,-0.04,False,5.28,0.69,1.04
13009,BlueBay Glbl Inv Grd Corp Bd I USD MIDiv,52.8.LU2158599089,0.63,-2.62,-0.72,,6.99,-0.04,False,,0.69,1.04
13010,BlueBay Glbl Inv Grd Corp Bd M CHF,52.8.LU2417507105,0.77,,,,,,False,,,
13011,BlueBay Glbl Inv Grd Corp Bd M USD,52.8.LU0850949479,0.59,,,,,,False,,,
13012,BlueBay Glbl Inv Grd Corp Bd Q USD,52.8.LU1632766744,0.67,-2.57,-0.66,3.15,6.99,-0.04,False,,0.75,1.04
13013,BlueBay Glbl Inv Grd Corp Bd Q USD (QID),52.8.LU1640477680,0.67,-2.57,-0.66,3.15,6.99,-0.04,False,,0.75,1.04
13014,BlueBay Glbl Inv Grd Corp Bd R USD,52.8.LU0847091310,0.36,-2.94,,,,,False,,,
13015,BlueBay Glbl Inv Grd Corp Bd R USD (QID),52.8.LU2435676023,,,,,,,False,,,
13016,BlueBay Impact-Aligned Bd I USD Acc,52.8.LU2333308505,-1.51,-3.7,,,,,False,,,
13017,BNP Paribas Sust Glb Corp Bond Classic D,52.8.LU0282388783,0.53,-3.05,-1.61,1.19,7.15,-0.2,False,3.87,-0.68,1.0
13018,BNP Paribas Sust Glb Corp Bond Classic R,52.8.LU0282388437,0.54,-3.05,-1.6,1.19,7.15,-0.2,False,3.87,-0.68,1.0
13019,BNP Paribas Sust Glb Corp Bd I R,52.8.LU0282388866,1.07,-2.43,-0.97,1.84,7.15,-0.11,False,4.55,-0.03,1.0
13020,BNP Paribas Sust Glb Corp Bd N R,52.8.LU0282389674,0.13,-3.54,-2.1,0.69,7.14,-0.27,False,3.36,-1.18,1.0
13021,BNP Paribas Sust Glb Corp Bond Privl D,52.8.LU1721430087,0.92,-2.6,-1.16,1.65,7.15,-0.14,False,,-0.22,1.0
13022,BNY Mellon Effcnt Glb IG Corp Bt USDAAcc,52.8.IE00BKLFGX81,0.24,-3.41,-1.49,,6.88,-0.21,False,,-0.86,0.97
13023,BNY Mellon Effcnt Glb IG Corp Bt USDWAcc,52.8.IE00BKLFHD50,0.43,-3.19,-1.29,,6.89,-0.18,False,,-0.66,0.97
13024,BNY Mellon Effcnt Glb IG Corp Bt USDXAcc,52.8.IE00BKLFHX56,4.68,3.18,,,,,False,,,
13025,BNY Mellon Global Credit JPY X Acc,52.8.IE000H4ENZ67,4.04,2.62,,,,,False,,,
13026,BNY Mellon Global Credit USD A Acc,52.8.IE00BYZW4P13,-0.03,-2.63,-0.75,,6.94,-0.08,False,,0.08,0.99
13027,BNY Mellon Global Credit USD L Acc,52.8.IE000J3LXBI2,,,,,,,False,,,
13028,BNY Mellon Global Credit USD L Inc,52.8.IE000XCITKR2,,,,,,,False,,,
13029,BNY Mellon Global Credit USD W Acc,52.8.IE00BYZW5L40,0.47,-2.03,-0.14,3.74,6.92,0.0,False,,0.68,0.99
13030,BNY Mellon Global Credit USD X Acc,52.8.IE00BYZW5Y78,0.88,-1.53,0.35,4.23,6.93,0.07,False,,1.17,0.99
13031,BNY Mellon Global Credit USD C Acc,52.8.IE00BYZW4T50,,,,,5.97,0.77,False,,,
13032,Capital Group GlobCorpBd (LUX) A7,52.8.LU2368227026,0.12,-2.73,,,,,False,,,
13033,Capital Group GlobCorpBd (LUX) B,52.8.LU1746179297,-0.56,-3.52,-1.83,2.24,6.79,-0.24,False,,-0.71,1.03
13034,Capital Group GlobCorpBd (LUX) B CHF,52.8.LU2616080813CHF,,,,,,,False,,-0.71,1.03
13035,Capital Group GlobCorpBd (LUX) B EUR,52.8.LU1746179370EUR,-0.52,-3.21,-1.86,2.21,6.26,-0.26,False,,-0.71,1.03
13036,Capital Group GlobCorpBd (LUX) Bd,52.8.LU2647896054,,,,,,,False,,,
13037,Capital Group GlobCorpBd (LUX) Bdh-GBP,52.8.LU2647896211,,,,,,,False,,,
13038,Capital Group GlobCorpBd (LUX) Bh-GBP,52.8.LU2647896138,,,,,,,False,,,
13039,Capital Group GlobCorpBd (LUX) P,52.8.LU2435582122,-0.07,-3.0,,,,,False,,,
13040,Capital Group GlobCorpBd (LUX) Pd,52.8.LU2276900896,0.04,-2.9,,,,,False,,,
13041,Capital Group GlobCorpBd (LUX) Ph-GBP,52.8.LU2630925894,,,,,,,False,,,
13042,Capital Group GlobCorpBd (LUX) S,52.8.LU2597018725,,,,,,,False,,,
13043,Capital Group GlobCorpBd (LUX) Sd,52.8.LU2632487836,,,,,,,False,,,
13044,Capital Group GlobCorpBd (LUX) Sd EUR,52.8.LU2632487752EUR,,,,,,,False,,,
13045,Capital Group GlobCorpBd (LUX) Sdh-EUR,52.8.LU2641157875,,,,,,,False,,,
13046,Capital Group GlobCorpBd (LUX) Sh-EUR,52.8.LU2598654767,,,,,,,False,,,
13047,Capital Group GlobCorpBd (LUX) Z,52.8.LU1746179610,-0.07,-3.07,-1.35,2.77,6.79,-0.17,False,,-0.22,1.03
13048,Capital Group GlobCorpBd (LUX) Z EUR,52.8.LU1746179701EUR,-0.1,-2.75,-1.37,2.71,6.31,-0.18,False,,-0.22,1.03
13049,Capital Group GlobCorpBd (LUX) Z GBP,52.8.LU1823148892GBP,0.05,-2.17,-1.42,2.73,6.49,-0.19,False,,-0.22,1.03
13050,Capital Group GlobCorpBd (LUX) Zd,52.8.LU1746179883,-0.13,-3.08,-1.34,2.76,6.82,-0.17,False,,-0.22,1.03
13051,Capital Group GlobCorpBd (LUX) Zd EUR,52.8.LU1746179966EUR,-0.14,-2.74,-1.37,2.72,6.28,-0.19,False,,-0.22,1.03
13052,Capital Group GlobCorpBd (LUX) Zd GBP,52.8.LU1823148975GBP,0.1,-2.12,-1.43,2.71,6.42,-0.19,False,,-0.22,1.03
13053,Capital Group GlobCorpBd (LUX) Zgd,52.8.LU1746180030,-0.09,-3.1,-1.35,2.77,6.86,-0.17,False,,-0.2,1.03
13054,Capital Group GlobCorpBd (LUX) Zgd EUR,52.8.LU1746180113EUR,-0.12,-2.68,-1.38,2.71,6.32,-0.18,False,,-0.2,1.03
13055,Capital Group GlobCorpBd (LUX) Zgd GBP,52.8.LU1823149197GBP,0.14,-2.11,-1.45,2.72,6.44,-0.19,False,,-0.2,1.03
13056,Capital Group GlobCorpBd (LUX) ZL,52.8.LU2099828118,0.03,-2.91,-1.19,,6.81,-0.15,False,,-0.05,1.04
13057,Capital Group GlobCorpBd (LUX) ZL EUR,52.8.LU2099828209EUR,-0.1,-2.64,-1.24,,6.29,-0.16,False,,-0.05,1.04
13058,Capital Group GlobCorpBd (LUX) ZL JPY,,0.45,-1.51,,,,,False,,-0.05,1.04
13059,Capital Group GlobCorpBd (LUX) ZLd,52.8.LU2099828381,-0.02,-2.58,-1.23,,6.29,-0.16,False,,-0.2,1.0
13060,Capital Group GlobCorpBd (LUX) ZLd CHF,,-0.14,-2.38,-1.16,,6.39,-0.17,False,,-0.2,1.0
13061,Capital Group GlobCorpBd (LUX) ZLd USD,,,,,,,,False,,-0.2,1.0
13062,Capital Group GlobCorpBd (LUX) ZLdh-EUR,52.8.LU2639035448,,,,,,,False,,,
13063,Capital Group GlobCorpBd (LUX) ZLh-EUR,52.8.LU2665177932,,,,,,,False,,,
13064,Corporate Bds F-acc,52.8.LU1116894822,1.66,-3.06,0.41,2.31,6.66,0.06,False,,-0.67,0.7
13065,EdRF Investment Grade Credit A USD,52.8.LU1749392335,-1.37,-4.97,-2.18,0.67,7.55,-0.26,False,,-0.94,1.06
13066,EdRF Investment Grade Credit B USD,52.8.LU1749392418,-1.36,-4.96,-2.25,0.62,7.54,-0.27,False,,-1.02,1.06
13067,EdRF Investment Grade Credit I USD H,52.8.LU1749392509,-1.03,-4.57,-1.78,1.08,7.55,-0.21,False,,-0.54,1.06
13068,FISCH Bond Global Corporates AD,52.8.LU1461846344,1.24,-1.7,-0.32,2.99,6.34,-0.03,False,,0.64,1.0
13069,FISCH Bond Global Corporates BD,52.8.LU1882613703,1.6,-1.2,0.17,3.53,6.34,0.05,False,,1.14,1.01
13070,FISCH Bond Global IG Corp BD USD,52.8.LU2329724327,0.74,-3.02,,,,,False,,,
13071,FTGF WA Glb Credit A USD Acc,52.8.IE00B50KJJ61,-1.33,-3.49,-2.67,1.35,7.6,-0.33,False,3.72,-1.22,1.1
13072,FTGF WA Glb Credit X USD Acc,52.8.IE00BD2MK590,,,2.85,4.76,7.52,0.39,True,5.45,,
13073,FTGF WA Glb Credit PR USD Acc,,-1.25,8.64,12.35,,9.1,,False,,-0.89,1.1
13074,GlobalAccess Global Corp Bd A Acc USD,52.8.IE00B0XXGY12,-0.75,-4.19,-2.03,1.48,6.86,-0.27,False,4.07,-1.2,0.98
13075,GlobalAccess Global Corp Bd B Acc USD,52.8.IE00B01VCY90,-0.58,-4.02,-1.84,1.68,6.86,-0.24,False,,-1.03,0.98
13076,GlobalAccess Global Corp Bd M Acc USD,52.8.IE00B0XXH155,-0.26,-3.64,-1.43,2.1,6.88,-0.18,False,4.71,-0.63,0.98
13077,GlobalAccess Global Corp Bd Z Acc USD,52.8.IE00B2N88889,-1.1,-4.63,-2.51,0.99,6.87,-0.34,False,3.55,-1.72,0.98
13078,GS Glbl Crdt (Hdg) A Inc USD,52.8.LU0234589181,0.89,-1.2,-1.65,2.35,7.29,-0.2,False,4.2,-0.22,1.08
13079,GS Glbl Crdt (Hdg) Base Acc USD,52.8.LU0234589348,1.15,-1.02,-1.4,2.61,7.31,-0.16,False,4.46,0.08,1.09
13080,GS Glbl Crdt (Hdg) Base Inc USD,52.8.LU0234589009,1.09,-0.98,-1.33,2.65,7.3,-0.16,False,4.49,0.05,1.08
13081,GS Glbl Crdt (Hdg) Base USD(Gross MDist),52.8.LU2589439459,,,,,,,False,,,
13082,GS Glbl Crdt (Hdg) Base USD (Stbl MDist),52.8.LU2605934988,,,,,,,False,,,
13083,GS Glbl Crdt (Hdg) I Acc USD,52.8.LU0234589421,1.72,-0.33,-0.74,3.29,7.31,-0.08,False,5.2,0.7,1.09
13084,GS Glbl Crdt (Hdg) IO Acc USD,52.8.LU0280952879,2.04,0.09,-0.33,3.7,7.32,-0.02,False,5.61,1.12,1.09
13085,GS Glbl Crdt (Hdg) IO Inc USD,52.8.LU0280952523,2.06,0.08,-0.34,3.7,7.29,-0.02,False,,1.07,1.08
13086,GS Glbl Crdt (Hdg) IXO USD (Cap MDist),52.8.LU1565282859,2.09,0.04,-0.32,3.7,7.35,-0.02,False,,1.08,1.09
13087,GS Glbl Crdt (Hdg) P Acc USD,52.8.LU0381556447,1.56,-0.47,-0.88,3.15,7.31,-0.09,False,5.03,0.57,1.08
13088,GS Glbl Crdt (Hdg) P Inc USD,52.8.LU0381556363,1.61,-0.43,-0.86,3.15,7.28,-0.1,False,5.03,0.52,1.08
13089,GS Glbl Crdt (Hdg) R Acc USD,52.8.LU0830642939,1.65,-0.43,-0.8,3.23,7.31,-0.08,False,5.1,0.66,1.09
13090,GS Glbl Crdt (Hdg) R Inc USD,52.8.LU0830638820,1.62,-0.36,-0.79,3.24,7.31,-0.09,False,5.1,0.63,1.09
13091,HSBC Global Corporate Bond ETF BCH,52.8.IE00BF5F9742,0.32,-2.93,-1.24,2.17,6.88,-0.17,False,,-0.26,1.02
13092,HSBC Global Corporate Bond ETF XCH,52.8.IE00BF5F9T66,0.33,-2.91,-1.24,2.18,6.88,-0.16,False,,-0.25,1.02
13093,HSBC GIF Global Lower Carbon Bd AC,52.8.LU1674672883,0.95,-2.42,-1.06,1.78,7.28,-0.14,False,,-0.56,0.96
13094,HSBC GIF Global Lower Carbon Bd AD,52.8.LU1674672966,0.94,-2.43,-1.06,1.78,7.28,-0.14,False,,-0.57,0.96
13095,HSBC GIF Global Lower Carbon Bd IC,52.8.LU1689525977,1.35,-1.98,-0.62,,7.29,-0.08,False,,-0.11,0.96
13096,Invesco Envirtl ClmtOpportsBd A EUR Acc,52.8.LU2601038149,,,,,,,False,,,
13097,Invesco Envirtl ClmtOpportsBd A USD Acc,52.8.LU0113592215,-0.17,-1.78,,,,,False,,,
13098,Invesco Envirtl ClmtOpportsBd A USD SD,52.8.LU0082941435,-0.17,-1.78,,,,,False,,,
13099,Invesco Envirtl ClmtOpportsBd C USD Acc,52.8.LU0100599173,0.05,-1.52,,,,,False,,,
13100,Invesco Envirtl ClmtOpportsBd E EUR Acc,52.8.LU0115143918,-0.21,-2.5,,,,,False,,,
13101,Invesco Envirtl ClmtOpportsBd Z USD Acc,52.8.LU1814057243,0.42,-1.13,,,,,False,,,
13102,Invesco Glbl IG Corp Bd A EUR AD,52.8.LU1075208725,0.21,-1.43,-1.88,1.65,6.97,-0.28,False,,-1.02,1.03
13103,Invesco Glbl IG Corp Bd A USDMD-GI,52.8.LU1075212248,0.41,-0.57,-1.84,1.66,7.43,-0.25,False,,-0.76,1.05
13104,Invesco Glbl IG Corp Bd A USD MD,52.8.LU0482542841,0.13,-0.84,-1.93,1.61,7.43,-0.25,False,4.95,-0.76,1.05
13105,Invesco Glbl IG Corp Bd A USD Acc,52.8.LU1218206255,0.41,-0.57,-1.84,1.66,7.43,-0.25,False,,-0.77,1.05
13106,Invesco Glbl IG Corp Bd A USD AD,52.8.LU0432616141,0.13,-0.84,-1.93,1.61,7.43,-0.25,False,4.94,-0.76,1.05
13107,Invesco Glbl IG Corp Bd C USD Acc,52.8.LU1218206339,0.61,-0.32,-1.59,1.91,7.43,-0.21,False,,-0.52,1.05
13108,Invesco Glbl IG Corp Bd C USD AD,52.8.LU0432616224,0.33,-0.6,-1.68,1.86,7.43,-0.21,False,5.21,-0.51,1.05
13109,Invesco Glbl IG Corp Bd E EUR Acc,52.8.LU0432616497,0.0,-1.68,-2.13,1.39,6.97,-0.32,False,4.69,-1.27,1.03
13110,Invesco Glbl IG Corp Bd Z USD Acc,52.8.LU1642784927,0.8,-0.1,-1.38,2.13,7.43,-0.18,True,5.27,-0.3,1.05
13111,Invesco Glbl IG Corp Bd Z EUR Acc,52.8.LU1981113506,0.6,-0.95,-1.42,,6.97,-0.22,False,,-0.54,1.03
13112,Janus Henderson Glb Inv Grd Bd A2 USD,52.8.IE00B41CXQ90,-1.92,-5.68,-2.5,1.67,6.74,-0.34,False,2.71,-1.68,0.98
13113,Janus Henderson Glb Inv Grd Bd H2 USD,52.8.IE00BD861K72,-1.55,-5.3,-2.01,2.4,6.71,-0.27,True,3.66,-1.24,0.97
13114,Janus Henderson Glb Inv Grd Bd I2 USD,52.8.IE00B3ZSZ594,-1.5,-5.27,-1.96,2.45,6.75,-0.25,False,3.69,-1.11,0.98
13115,JPM Global Corp Bd A (acc) USD,52.8.LU0408846375,0.22,-2.52,-1.27,1.88,6.93,-0.17,False,4.33,-0.6,0.97
13116,JPM Global Corp Bd A (dist) USD,52.8.LU0814389432,0.22,-2.54,-1.27,1.87,6.93,-0.17,False,4.33,-0.61,0.97
13117,JPM Global Corp Bd C (acc) USD,52.8.LU0408846615,0.59,-2.1,-0.83,2.33,6.94,-0.11,False,4.8,-0.15,0.97
13118,JPM Global Corp Bd C (dist) USD,52.8.LU0815276950,0.6,-2.11,-0.83,2.33,6.94,-0.11,False,4.8,-0.15,0.97
13119,JPM Global Corp Bd D (acc) USD,52.8.LU0408846706,-0.11,-2.95,-1.67,1.46,6.95,-0.23,False,3.91,-0.98,0.98
13120,JPM Global Corp Bd I (acc) EUR,52.8.LU2372579792,0.64,-2.27,,,,,False,,,
13121,JPM Global Corp Bd I (acc) USD,52.8.LU0408847183,0.62,-2.07,-0.79,2.37,6.93,-0.1,False,4.84,-0.11,0.98
13122,JPM Global Corp Bd I (dist) USD,,-3.66,-8.94,-0.04,,8.01,0.01,False,,-0.02,1.03
13123,JPM Global Corp Bd I2 (acc) EUR,52.8.LU2479973260,,,,,,,False,,,
13124,JPM Global Corp Bd I2 (acc) USD,52.8.LU1727354364,0.69,-1.98,-0.71,2.46,6.94,-0.09,False,,-0.04,0.97
13125,JPM Global Corp Bd I2 (inc) USD,,4.39,1.43,7.16,,,,False,,,
13126,JPM Glbl Shrt Dur Corp Bd Sst A USD Acc,52.8.LU2634480144,,,,,,,False,,,
13127,JPM Glbl Shrt Dur Corp Bd Sst C USD Acc,52.8.LU2634483833,,,,,,,False,,,
13128,JPM Glbl Shrt Dur Corp Bd Sst D USD Acc,52.8.LU2634483916,,,,,,,False,,,
13129,JPM Glbl Shrt Dur Corp Bd Sst I USD Acc,52.8.LU2634488717,,,,,,,False,,,
13130,JPM Glbl Shrt Dur Corp Bd Sst I2 USD Acc,52.8.LU2634490531,,,,,,,False,,,
13131,LGT Sustainable Bd Corp Sub Fd A USD,52.8.IE00BF0B2V28,0.25,-3.46,-0.71,1.53,6.92,-0.07,False,,-0.68,0.85
13132,LGT Sustainable Bd Corp Sub Fd H USD,52.8.IE00BF0B3207,-0.35,-4.15,-1.49,0.71,6.91,-0.18,False,,-1.47,0.85
13133,LO TargetNetZero Global IG Corp SH USDNA,52.8.LU0857973365,0.02,-2.42,,,,,False,,,
13134,LO TargetNetZero Global IG Corp SH USDSA,52.8.LU0857973522,0.47,-1.87,,,,,False,,,
13135,M&G (Lux) Glb Corp Bd A USD Acc,52.8.LU1670712956,0.0,-2.43,-0.56,2.97,6.91,-0.05,True,4.98,-0.03,0.93
13136,M&G (Lux) Glb Corp Bd A USD Inc,52.8.LU1670713095,0.0,-2.43,-0.56,2.97,6.91,-0.05,True,,-0.03,0.93
13137,M&G (Lux) Glb Corp Bd C USD Acc,52.8.LU1670713178,0.34,-2.04,-0.12,3.46,6.92,0.01,True,5.49,0.42,0.93
13138,M&G (Lux) Glb Corp Bd C USD Inc,52.8.LU1670713251,0.32,-2.05,-0.12,3.45,6.91,0.01,True,,0.42,0.93
13139,M&G (Lux) Glb Corp Bd CI USD Acc,52.8.LU1797815732,0.37,-2.0,-0.08,3.49,6.91,0.02,True,5.51,0.46,0.93
13140,Man GLG GlInGd Opports D USD Acc,52.8.IE000V4MQ908,,,,,,,False,,,
13141,Man GLG GlInGd Opports DU USD Acc,52.8.IE00055D8831,,,,,,,False,,,
13142,Man GLG GlInGd Opports I EUR NetDist A,52.8.IE000FZONFF6,,,,,,,False,,,
13143,Man GLG GlInGd Opports I USD Acc,52.8.IE000XOE1GE5,11.68,11.02,,,,,False,,,
13144,Man GLG GlInGd Opports IF EUR NetDist A,52.8.IE000NPI3I93,11.94,,,,,,False,,,
13145,Man GLG Sust Strat Inc I USD Cap,52.8.IE0007LQCP82,0.91,-1.42,,,,,False,,,
13146,Man GLG Sust Strat Inc IF USD Cap,52.8.IE000B8VRZT6,0.23,-2.28,,,,,False,,,
13147,Man GLG GlInGd Opports DW USD Acc,52.8.IE000SISN8H9,,,,,,,False,,,
13148,Loomis Sayles Global Credit H-I/A USD,52.8.LU0411266470,0.2,-3.41,,,,,False,,,
13149,Loomis Sayles Sust Glbl Corp Bd H-I/AUSD,52.8.LU0477158140,5.94,12.39,,,,,False,,,
13150,Neuberger Berman GlInGd Crdt EUR I Acc,52.8.IE000CEVL7G2,,,,,,,False,,,
13151,Neuberger Berman GlInGd Crdt USD I Acc,52.8.IE00BN6JC279,0.64,-2.54,,,,,False,,,
13152,Neuberger Berman GlInGd Crdt USD X Acc,52.8.IE00BN6JC386,0.88,-2.32,,,,,False,,,
13153,Ninety One GSF InvGrdCorpBd A Acc USD,52.8.LU0345763949,-0.86,-3.33,-2.94,1.51,7.59,-0.35,True,3.7,-0.76,1.19
13154,Ninety One GSF InvGrdCorpBd A Inc-2 USD,52.8.LU0345764244,-0.86,-3.37,-2.94,1.51,7.62,-0.35,True,3.71,-0.75,1.19
13155,Ninety One GSF InvGrdCorpBd I Acc USD,52.8.LU0345764160,-0.41,-2.83,-2.42,2.06,7.63,-0.28,True,4.26,-0.22,1.19
13156,PGIM Global Corporate Bond USD A Acc,52.8.IE00BDDW9178,0.62,-2.61,-1.63,2.09,6.95,-0.23,False,,-0.5,1.05
13157,PGIM Global Corporate Bond USD I Acc,52.8.IE00BFLQZJ56,1.03,-2.12,-1.14,2.6,6.95,-0.15,False,,0.0,1.05
13158,PGIM Global Corporate Bond USD P Acc,52.8.IE00BG36TS71,0.91,-2.27,-1.28,2.44,6.95,-0.18,False,,-0.15,1.05
13159,PIMCO GIS Climate Bond Instl USD Acc,52.8.IE00BLCH5F52,1.32,-2.81,-0.47,,7.03,-0.05,False,,-0.53,0.86
13160,PIMCO GIS Glb IG Crdt ESG Ins USD Acc,52.8.IE00BFZ89957,0.02,-3.27,-1.33,2.38,6.79,-0.18,False,,-0.49,0.99
13161,PIMCO GIS Glb IG Crdt ESG Ins USD Inc,52.8.IE00BK74P760,0.0,-3.21,-1.34,,6.77,-0.18,False,,-0.52,0.99
13162,PIMCO GIS GlInGd Crdt Admin USD Acc,52.8.IE00B3KYRN47,0.23,-3.2,-1.97,1.04,7.02,-0.25,False,4.12,-1.18,0.98
13163,PIMCO GIS GlInGd Crdt E USD Acc,52.8.IE00B3K7XK29,-0.08,-3.65,-2.34,0.64,7.02,-0.31,False,3.7,-1.56,0.98
13164,PIMCO GIS GlInGd Crdt E USD Inc,52.8.IE00B2R34T20,-0.07,-3.61,-2.34,0.64,7.03,-0.31,False,3.7,-1.58,0.97
13165,PIMCO GIS GlInGd Crdt Instl USD Acc,52.8.IE0034085260,0.67,-2.73,-1.45,1.56,7.03,-0.18,False,4.64,-0.67,0.98
13166,PIMCO GIS GlInGd Crdt Instl USD Inc,52.8.IE0033386453,0.6,-2.75,-1.46,1.55,7.02,-0.18,False,4.64,-0.68,0.98
13167,PIMCO GIS GlInGd Crdt Inv USD Acc,52.8.IE00B05K1Q71,0.35,-3.1,-1.79,1.2,6.99,-0.23,False,4.28,-1.03,0.97
13168,PIMCO GIS GlInGd Crdt Inv USD Inc,52.8.IE00B3KQH184,0.3,-3.07,-1.81,1.2,7.0,-0.23,False,4.27,-1.05,0.97
13169,PIMCO GIS GlInGd Crdt W USD Acc,52.8.IE00BLCB6L07,0.75,-2.65,-1.35,,7.02,-0.17,False,,-0.6,0.97
13170,PIMCO GIS GlInGd Crdt W USD Inc,52.8.IE00BLCB6J84,0.64,-2.63,-1.37,,6.94,-0.17,False,,-0.57,0.98
13171,RobecoSAM Climate Global Credits DH USD,52.8.LU2258387989,-0.48,-3.01,,,,,False,,,
13172,RobecoSAM Climate Global Credits FH USD,52.8.LU2258388011,-0.16,-2.64,,,,,False,,,
13173,RobecoSAM Climate Global Credits IH USD,52.8.LU2258388102,-0.1,-2.53,,,,,False,,,
13174,RobecoSAM Global SDG Credits FH $,52.8.LU2055796721,-0.29,-2.34,-1.54,,6.76,-0.23,False,,-0.46,1.05
13175,RobecoSAM Global SDG Credits IH $,52.8.LU1811861787,-0.25,-2.28,-1.48,2.54,6.75,-0.22,False,,-0.39,1.05
13176,Rubrics Global Credit UCITS A USD,52.8.IE00BCRY5V47,1.51,-4.45,2.21,2.45,6.9,0.29,False,5.31,-0.34,0.49
